"시설명","전화번호","동"
"행복한세상복지센터","02-6405-3452","고덕2동"
"행복동산방문요양센터","02-477-5160","성내1동"
"소망요양원","02-400-0126","고덕1동"
"강암경로당","02-3427-4409","암사1동"
"암사2동 제2경로당","02-3426-7603","암사2동"
"천호1동경로당","02-488-8174","천호1동"
"십자성경로당","02-484-3632","천호1동"
"당말경로당","02-486-5731","천호3동"
"한일의료기상사","",""
"강동복지관노인교실","02-2041-7800","천호3동"
"천호중앙A경로당","02-484-0903","천호2동"
"골드빌경로당","02-478-0959","길동"
"GS강동자이경로당","02-6419-0094","길동"
"길동현대A경로당","02-471-3483","길동"
"천호삼성A(할머니)경로당","02-470-7122","천호3동"
"명일2동현대 A경로당","02-442-8029","명일2동"
"상일중앙하이츠경로당","02-481-9453","상일동"
"강동구립 해공노인복지관","02-478-0601","천호2동"
"시립강동노인종합복지관","02-442-1026","명일2동"
"성가정노인종합복지관","02-481-2217","고덕1동"
"강동노인복지관치매요양원","02-426-2041","명일1동"
"성암장수마을","02-489-2081","천호1동"
"대한연세요양원","02-426-1000","강일동"
"THE/ 더어르신요양원","02-485-4701","둔촌2동"
"그랜드너싱홈","02-472-0998","길동"
"정원실버요양원","02-470-1723","길동"
"정원실버요양원2호점","02-470-1725","길동"
"소망요양원","02-400-0126","고덕1동"
"소망요양원1호점","02-400-0126","고덕1동"
"효우실버센터1호점","02-479-1199","천호2동"
"효우실버센터2호점","02-479-1199","천호2동"
"효우실버센터3호점","02-479-1199","천호2동"
"효우실버센터5호","02-479-1199","천호2동"
"효우실버센터6호","02-479-1199","천호2동"
"은혜요양원","02-481-3038","길동"
"늘편한요양센터","02-475-3035","천호1동"
"늘편한요양센터2호","02-474-3135","천호1동"
"늘편한요양원","02-474-3033","천호1동"
"강동포도나무요양원","02-427-6888","명일1동"
"강동포도나무요양원2호점","02-427-6888","명일1동"
"황금나무너싱홈","02-428-9987","암사3동"
"흰돌장기요양센터1호점","02-481-6562","암사1동"
"흰돌장기요양센터2호점","02-481-6562","암사1동"
"흰돌장기요양센터3호점","02-481-6562","암사1동"
"강동노인대학","02-470-5926","명일1동"
"강일성모노인요양원","02-426-9663","강일동"
"강동스마일방문요양센터","02-426-6004","강일동"
"신성둔촌미소지움1차A 경로당","02-477-9627","둔촌2동"
"신성둔촌미소지움2차A경로당","02-484-8727","둔촌2동"
"노인일자리전담기관 강동시니어클럽","02-6713-3779","길동"
"명일우성 A 경로당","02-481-5748","명일2동"
"강일리버파크1단지경로당","02-428-6771","강일동"
"강일리버파크2단지경로당","02-442-1022","강일동"
"강일리버파크3단지 경로당","02-429-4600","강일동"
"강일리버파크4단지 경로당","02-481-7080","강일동"
"강일리버파크5단지 경로당","02-6085-8848","강일동"
"강일리버파크6단지 경로당","02-426-6659","강일동"
"강일리버파크7단지 경로당","02-429-2332","강일동"
"강일리버파크8단지 경로당","02-426-1260","강일동"
"강일리버파크9단지경로당","02-426-3610","강일동"
"강일리버파크10단지 경로당","02-427-0366","강일동"
"강일리버파크11단지 경로당","02-426-3999","강일동"
"고덕리엔파크1단지 경로당","02-426-1933","강일동"
"고덕리엔파크2단지 경로당","02-426-3927","강일동"
"고덕리엔파크3단지 경로당","02-428-9937","강일동"
"상일동아A 경로당","02-3426-5222","상일동"
"고?현대A 경로당","02-481-6494","고덕1동"
"장생경로당","02-426-6400","암사1동"
"프라이어팰리스A 경로당","02-426-4674","암사1동"
"구암경로당","02-428-1233","암사3동"
"천호문구거리경로당","02-470-3264","천호2동"
"천호현대타워경로당","02-478-8813","천호3동"
"성내삼성목련A 경로당","02-472-5113","성내1동"
"성내현대A 경로당","02-477-7092","성내2동"
"둔촌푸르지오A 경로당","02-486-6156","둔촌2동"
"둔촌현대A 3차경로당","02-477-6668","둔촌2동"
"고덕아이파크A 경로당","02-442-5580","고덕1동"
"강동롯데캐슬A 경로당","02-426-1105","암사3동"
"해공경로당","02-486-7610","천호2동"
"구사거리 경로당","02-488-0350","천호2동"
"레미안힐스테이트고덕(남) 어르신사랑방","02-481-5575","고덕1동"
"레미안힐스테이트고덕(여) 어르신사랑방","02-481-6675","고덕1동"
"암사현대홈타운 어르신사랑방","--","암사3동"
"올림픽파크 한양수자인 어르신사랑방","02-471-9630","성내1동"
"선린공원 어르신사랑방","02-470-1716","성내3동"
"둔촌2동 어르신사랑방","02-478-3328","둔촌2동"
